"","album","title","artist","lyrics"
"11","Taylor Swift","Our Song",NA,NA
"12","Taylor Swift","I'm Only Me When I'm With You",NA,NA
"13","Taylor Swift","Invisible",NA,NA
"14","Taylor Swift","A Perfectly Good Heart","Taylor Swift","Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?

Maybe I should've seen the signs
Should've read the writing on the wall
And realized by the distance in your eyes
That I would be the one to fall

No matter what you say
I still can't believe that you would walk away
It don't make sense to me, but

Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?

It's not unbroken anymore (It's not unbroken anymore)
How do I get it back the way it was before?

Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break—
(Why) Would you wanna break it?

Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?

Mmm-hmm"
"15","Taylor Swift","Teardrops on My Guitar (Pop Version)",NA,NA
"16","Fearless","Fearless","Taylor Swift","There's somethin' 'bout the way
The street looks when it's just rained
There's a glow off the pavement
You walk me to the car
And you know I wanna ask you to dance right there
In the middle of the parkin' lot, yeah
Oh, yeah

We're driving down the road
I wonder if you know
I'm trying so hard not to get caught up now
But you're just so cool
Run your hands through your hair
Absent-mindedly makin' me want you

And I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless

So, baby, drive slow 'til we run out of road
In this one-horse town, I wanna stay right here
In this passenger seat, you put your eyes on me
In this moment now, capture it, remember it

'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless

Oh-oh

Well, you stood there with me in the doorway
My hands shake, I'm not usually this way but
You pull me in and I'm a little more brave
It's the first kiss, it's flawless, really somethin'
It's fearless
Oh, yeah

'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless
'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless

Oh-oh
Oh-oh, yeah"
"17","Fearless","Fifteen","Taylor Swift","You take a deep breath and you walk through the doors
It's the mornin' of your very first day
You say ""hi"" to your friends you ain't seen in a while
Try and stay out of everybody's way
It's your freshman year and you're gonna be here
For the next four years in this town
Hopin' one of those senior boys will wink at you and say
""You know, I haven't seen you around before""

'Cause when you're fifteen and somebody tells you they love you
You're gonna believe them
And when you're fifteen, feelin' like there's nothin' to figure out
Well, count to ten, take it in
This is life before you know who you're gonna be
Fifteen

You sit in class next to a redhead named Abigail
And soon enough, you're best friends
Laughin' at the other girls who think they're so cool
We'll be outta here as soon as we can
And then, you're on your very first date and he's got a car
And you're feelin' like flyin'
And your mama's waitin' up and you're thinkin' he's the one
And you're dancin' 'round your room when the night ends
When the night ends

'Cause when you're fifteen and somebody tells you they love you
You're gonna believe them
And when you're fifteen and your first kiss
Makes your head spin 'round
But in your life, you'll do things greater than
Dating the boy on the football team
But I didn't know it at fifteen

When all you wanted was to be wanted
Wish you could go back and tell yourself what you know now
Back then, I swore I was gonna marry him someday
But I realized some bigger dreams of mine
And Abigail gave everything she had
To a boy who changed his mind
And we both cried

'Cause when you're fifteen and somebody tells you they love you
You're gonna believe them
And when you're fifteen, don't forget to look before you fall
I've found time can heal most anything
And you just might find who you're supposed to be
I didn't know who I was supposed to be
At fifteen

La-la-la, la-la-la, la-la-la-la
La-la-la, la-la-la, la-la-la-la
La-la-la, la-la-la

Your very first day
Take a deep breath, girl
Take a deep breath as you walk through the doors"
"18","Fearless","Love Story",NA,NA
"19","Fearless","Hey Stephen","Taylor Swift","Mmm-mm, mm-mm
Mmm-mm, mm-mm
Mmm-mm, mm-mm, yeah

Hey, Stephen, I know looks can be deceiving
But I know I saw a light in you
And as we walked, we were talking
I didn't say half the things I wanted to
Of all the girls tossing rocks at your window
I'll be the one waiting there even when it's cold
Hey, Stephen, boy, you might have me believing
I don't always have to be alone

'Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself

Hey, Stephen, I've been holding back this feeling
So I got some things to say to you, ha
I've seen it all, so I thought
But I never seen nobody shine the way you do
The way you walk, way you talk, way you say my name
It's beautiful, wonderful, don't you ever change
Hey, Stephen, why are people always leaving?
I think you and I should stay the same

'Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself

They're dimming the street lights, you're perfect for me
Why aren't you here tonight?
I'm waiting alone now, so come on and come out
And pull me near and shine, shine, shine

Hey, Stephen, I could give you fifty reasons
Why I should be the one you choose
All those other girls, well, they're beautiful
But would they write a song for you? (Ha-ha)

I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself
If you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself

Myself
Can't help myself
I can't help myself"
"20","Fearless","White Horse",NA,NA
"21","Fearless","You Belong With Me",NA,NA
"22","Fearless","Breathe","Taylor Swift","I see your face in my mind as I drive away
'Cause none of us thought it was gonna end that way
People are people and sometimes, we change our minds
But it's killing me to see you go after all this time

Music starts playing like the end of a sad movie
It's the kind of ending you don't really wanna see
'Cause it's tragedy and it'll only bring you down
Now, I don't know what to be without you around

And we know it's never simple, never easy
Never a clean break, no one here to save me
You're the only thing I know like the back of my hand

And I can't breathe without you, but I have to
Breathe without you, but I have to

Never wanted this, never wanna see you hurt
Every little bump in the road, I tried to swerve
But people are people and sometimes, it doesn't work outNothing we say is gonna save us from the fall out

And we know it's never simple, never easy
Never a clean break, no one here to save me
You're the only thing I know like the back of my hand

And I can't 
breathe without you, but I have to
Breathe without you but I have to

It's 2 A.M
, feeling like I just 
lost a friend
Hope you know it's 
not easy, easy for me
It's 2 A.M
, feeling like 
I just lost a friend
Hope you know this ain't easy, easy for me

And we know it's never simple, never easy
Never a clean break, no one here to save me, oh-oh

I can't 
breathe without you, but I have to
Breathe without you, but I have to
Breathe 
without you, but I have to

I'm sorry, I'm sorry (Mmm)
I'm sorry, (Yeah, yeah) I'm sorry
I'm sorry, I'm sorry
I'm sorry"
"23","Fearless","Tell Me Why",NA,NA
"24","Fearless","You're Not Sorry",NA,NA
"25","Fearless","The Way I Loved You",NA,NA
"26","Fearless","Forever & Always","Taylor Swift","Once upon a time
I believe it was a Tuesday when I caught your eye
And we caught onto something
I hold onto the night
You looked me in the eye and told me you loved me
Were you just kidding?
'Cause it seems to me
This thing is breaking down, we almost never speak
I don't feel welcome anymore
Baby, what happened? Please, tell me
'Cause one second, it was perfect
Now, you're halfway out the door

And I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when he said, ""Forever and always""
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""Forever and always""

Was I out of line?
Did I say something way too honest, made you run and hide
Like a scared little boy?
I looked into your eyes
Thought I knew you for a minute, now, I'm not so sure
So here's to everything coming down to nothing
Here's to silence that cuts me to the core
Where is this going?
Thought I knew for a minute, but I don't anymore

And I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when he said, ""Forever and always""
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""Forever and always""
You didn't mean it, baby, I don't think so

Oh, back up, baby, back up
Did you forget everything?
Back up, baby, back up
Did you forget everything?

'Cause it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""Forever and always""
Oh, I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when we said, ""Forever and always""
And it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""Forever and always""

You didn't mean it, baby
You said, ""Forever and always"", yeah"
"27","Fearless","The Best Day",NA,NA
"28","Fearless","Change","Taylor Swift","And it's a sad picture, the final blow hits you
Somebody else gets what you wanted again and
You know it's all the same, another time and place
Repeating history and you're getting sick of it
But I believe in whatever you do
And I'll do anything to see it through

Because these things will change
Can you feel it now?
These walls that they put up to hold us back will fall down
This revolution, the time will come
For us to finally win
And we'll sing hallelujah, we'll sing hallelujah
Oh, oh

So we've been outnumbered, raided, and now, cornered
It's hard to fight when the fight ain’t fair
We're getting stronger now, find things they never found
They might be bigger but we're faster and never scared
You can walk away, say we don't need this
But there's something in your eyes says we can beat this

'Cause these things will change
Can you feel it now?
These walls that they put up to hold us back will fall down
This revolution, the time will come
For us to finally win
And we'll sing hallelujah, we'll sing hallelujah
Oh, oh

Tonight, we stand, get off our knees
Fight for what we've worked for all these years
And the battle was long, it's the fight of our lives
But we'll stand up champions tonight

It was the night things changed
Can you see it now?
These walls that they put up to hold us back fell down
It's a revolution, throw your hands up
'Cause we never gave in
And we'll sing hallelujah, we sang hallelujah
Hallelujah"
"29","Fearless","Fearless [Liner Notes]",NA,NA
"30","Speak Now","Mine",NA,NA
"31","Speak Now","Sparks Fly",NA,NA
"32","Speak Now","Back to December","Taylor Swift","I'm so glad you made time to see me
How's life? Tell me, how's your family?
I haven't seen them in a while
You've been good, busier than ever
We small talk, work and the weather
Your guard is up and I know why

Because the last time you saw me
Is still burned in the back of your mind
You gave me roses and I left them there to die

So this is me swallowing my pride
Standin' in front of you sayin', ""I'm sorry for that night""
And I go back to December all the time
It turns out freedom ain't nothing but missin' you
Wishin' I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December all the time

These days, I haven't been sleeping
Stayin' up, playing back myself leavin'
When your birthday passed and I didn't call
Then I think about summer, all the beautiful times
I watched you laughing from the passenger side
And realized I loved you in the fall

And then the cold came, the dark days
When fear crept into my mind
You gave me all your love and all I gave you was goodbye

So this is me swallowing my pride
Standin' in front of you, sayin', ""I'm sorry for that night""
And I go back to December all the time
It turns out freedom ain't nothing but missin' you
Wishin' I'd realized what I had when you were mine
I go back to December, turn around and change my own mind
I go back to December all the time

I miss your tanned skin, your sweet smile
So good to me, so right
And how you held me in your arms that September night
The first time you ever saw me cry
Maybe this is wishful thinkin'
Probably mindless dreaming
But if we loved again, I swear I'd love you right
I'd go back in time and change it, but I can't
So, if the chain is on your door, I understand

But this is me swallowing my pride
Standin' in front of you, sayin', ""I'm sorry for that night""
And I go back to December
It turns out freedom ain't nothing but missin' you
Wishin' I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December, turn around and change my own mind
I go back to December all the time

All the time"
"33","Speak Now","Speak Now",NA,NA
"34","Speak Now","Dear John","Taylor Swift","Long were the nights when
My days once revolved around you
Counting my footsteps
Praying the floor won't fall through again
And my mother accused me of losing my mind
But I swore I was fine
You paint me a blue sky
Then go back and turn it to rain
And I lived in your chess game
But you changed the rules everyday
Wondering which version of you I might get on the phone tonight
Well, I stopped pickin' up and this song is to let you know why

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I should've known

Well, maybe it's me
And my blind optimism to blame
Or maybe it's you and your sick need
To give love and take it away
And you'll add my name to your long list of traitors
Who don't understand
And I look back in regret how I ignored when they said
""Run as fast as you can""

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
Dear John, I see it all now, it was wrong
Don't you think nineteen's too young
To be played by your dark, twisted games when I loved you so?
I should've known

You are an expert at sorry and keeping lines blurry
Never impressed by me acing your tests
All the girls that you've run dry have tired lifeless eyes
'Cause you burned them out
But I took your matches before fire could catch me
So don't look now
I'm shining like fireworks over your sad empty town
Oh, oh

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress wrote you a song
You should've known

You should've known
Don't you think I was too young?
You should've known"
"35","Speak Now","Mean",NA,NA
"36","Speak Now","The Story Of Us",NA,NA
"37","Speak Now","Never Grow Up",NA,NA
"38","Speak Now","Enchanted","Taylor Swift","There I was again tonight
Forcing laughter, faking smiles
Same old tired, lonely place
Walls of insincerity
Shifting eyes and vacancy
Vanished when I saw your face
All I can say is it was enchanting to meet you

Your eyes whispered, ""Have we met?""
Across the room, your silhouette
Starts to make its way to me
The playful conversation starts
Counter all your quick remarks
Like passing notes in secrecy
And it was enchanting to meet you
All I can say is I was enchanted to meet you

This night is sparklin', don't you let it go
I'm wonderstruck, blushin' all the way home
I'll spend forever wonderin' if you knew
I was enchanted to meet you

The lingering question kept me up
2AM, who do you love?
I wonder 'til I'm wide awake
And now, I'm pacing back and forth
Wishing you were at my door
I'd open up and you would say
""Hey, it was enchanting to meet you""
All I know is I was enchanted to meet you

This night is sparklin', don't you let it go
I'm wonderstruck, blushin' all the way home
I'll spend forever wonderin' if you knew
This night is flawless, don't you let it go
I'm wonderstruck, dancing around all alone
I'll spend forever wonderin' if you knew
I was enchanted to meet you

This is me praying that
This was the very first page
Not where the storyline ends
My thoughts will echo your name
Until I see you again
These are the words I held back
As I was leaving too soon
I was enchanted to meet you
Please, don't be in love with someone else
Please, don't have somebody waiting on you
Please, don't be in love with someone else (Ooh)
Please, don't have somebody waiting on you (Ooh, oh)

This night is sparklin', don't you let it go
I'm wonderstruck, blushin' all the way home
I'll spend forever wonderin' if you knew
This night is flawless (Please, don't be in love with someone else)
Don't you let it go
I'm wonderstruck (Please, don't have somebody waiting on you)
Dancing around all alone
I'll spend forever (Please, don't be in love with someone else)
Wonderin' if you knew
I was enchanted to meet you

Please, don't be in love with someone else
Please, don't have somebody waiting on you"
"39","Speak Now","Better Than Revenge","Taylor Swift","Now, go stand in the corner and think about what you did (Ha)
Haha, time for a little revenge

The story starts when it was hot and it was summer and
I had it all, I had him right there where I wanted him
She came along, got him alone, and let's hear the applause
She took him faster than you can say ""Sabotage""
I never saw it coming, wouldn't have suspected it
I underestimated just who I was dealing with
She had to know the pain was beating on me like a drum
She underestimated just who she was stealing from

She's not a saint and she's not what you think
She's an actress, woah
She's better known for the things that she does
On the mattress, woah
Soon, she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge, ha

She looks at life like it's a party and she's on the list
She looks at me like I'm a trend and she's so over it
I think her ever-present frown is a little troubling and
She thinks I'm psycho 'cause I like to rhyme her name with things
But sophistication isn't what you wear or who you know
Or pushing people down to get you where you wanna go
Oh, they didn't teach you that in prep school so it's up to me
But no amount of vintage dresses gives you dignity
(Think about what you did)

She's not a saint and she's not what you think
She's an actress, woah
She's better known for the things that she does
On the mattress, woah
Soon, she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge, ha

I'm just another thing for you to roll your eyes at, honey
You might have him, but haven't you heard?
I'm just another thing for you to roll your eyes at, honey
You might have him, but I always get the last word
Woah, woah-ah-oh

She's not a saint and she's not what you think
She's an actress, woah (She deserved it)
She's better known for the things that she does
On the mattress, woah
Soon, she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge

Do you still feel like you know what you're doing?
'Cause I don't think you do, oh (No, no, no, no)
Do you still feel like you know what you're doing? (No)
I don't think you do, I don't think you do
Let's hear the applause (Come on, come on)
Come on, show me how much better you are
(So much better, yeah?)
See, you deserve some applause
'Cause you're so much better
She took him faster than you could say ""Sabotage"""
"40","Speak Now","Innocent",NA,NA
"41","Speak Now","Haunted","Taylor Swift","You and I walk a fragile line
I have known it all this time
But I never thought I'd live to see it break
It's getting dark and it's all too quiet
And I can't trust anything now
And it's coming over you like it's all a big mistake

Woah, holding my breath
Won't lose you again
Something's made your eyes go cold

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted

Stood there and watched you walk away
From everything we had
But I still mean every word I said to you
He will try to take away my pain
And he just might make me smile
But the whole time, I'm wishing he was you instead

Oh, holding my breath
Won't see you again
Something keeps me holding onto nothing

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted

I know, I know
I just know
You're not gone
You can't be gone, no

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
Won't finish what you started
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
I can't go back, I'm haunted

Oh-oh, oh-oh, oh-oh, oh
You and I walk a fragile line
I have known it all this time
Never ever thought I'd see it break
Never thought I'd see it"
"42","Speak Now","Last Kiss",NA,NA
"43","Speak Now","Long Live",NA,NA
"44","Red","State of Grace",NA,NA
"45","Red","Red",NA,NA
"46","Red","Treacherous",NA,NA
"47","Red","I Knew You Were Trouble",NA,NA
"48","Red","All Too Well","Taylor Swift","I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now

Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days

And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

'Cause there we are again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You taught me 'bout your past, thinking your future was me

And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to

'Cause there we are again in the middle of the night
We're dancing ‘round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well, yeah

Well, maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again
Just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
Too well

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now, you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well

Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well"
"49","Red","22","Taylor Swift","It feels like a perfect night
To dress up like hipsters
And make fun of our exes
Uh-uh, uh-uh
It feels like a perfect night
For breakfast at midnight
To fall in love with strangers
Uh-uh, uh-uh

Yeah
We're happy, free, confused and lonely at the same time
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the deadlines
It's time, oh-oh

I don't know about you
But I'm feeling twenty-two
Everything will be alright if
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if
We just keep dancing like we're
Twenty-two, twenty-two

It seems like one of those nights
This place is too crowded
Too many cool kids
Uh-uh, uh-uh (Who's Taylor Swift, anyway? Ew)
It seems like one of those nights
We ditch the whole scene
And end up dreamin'
Instead of sleeping

Yeah
We're happy, free, confused and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, oh-oh

(Hey!) I don't know about you
But I'm feeling twenty-two
Everything will be alright if (Ooh)
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if (Alright)
We just keep dancing like we're
Twenty-two (Oh-oh-oh-oh, oh), twenty-two (I don't know about you)
Twenty-two, twenty-two (Ooh)

It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleepin'
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you (You)
Woah, ooh, yeah, eh-yeah

(Hey!) I don't know about you (I don't know about you)
But I'm feeling twenty-two
Everything will be alright if (Ooh)
You keep me next to you
You don't know about me (You don't know about me)
But I'll bet you want to
Everything will be alright if
We just keep dancing like we're (Dancing like we're twenty-two)
Twenty-two (Woah-oh), twenty-two (Dancing like)
Twenty-two (Yeah, yeah), twenty-two (Yeah, yeah, yeah)

It feels like one of those nights (Twenty-two)
We ditch the whole scene
It feels like one of those nights (Twenty-two)
We won't be sleeping
It feels like one of those nights (Twenty-two)
You look like bad news
I gotta have you
I gotta have you"
"50","Red","I Almost Do",NA,NA
"51","Red","We Are Never Ever Getting Back Together",NA,NA
"52","Red","Stay Stay Stay",NA,NA
"53","Red","The Last Time",NA,NA
"54","Red","Holy Ground","Taylor Swift","I was reminiscing just the other day
While having coffee all alone, and Lord, it took me away
Back to a first-glance feeling on New York time
Back when you fit in my poems like a perfect rhyme
Took off faster than a green light, go
Hey, you skip the conversation when you already know
I left a note on the door with a joke we'd made
And that was the first day

And darling, it was good
Never looking down
And right there where we stood
Was holy ground

Spinning like a girl in a brand new dress
We had this big wide city all to ourselves
We blocked the noise with the sound of, ""I need you""
And for the first time, I had something to lose
And I guess we fell apart in the usual way
And the story's got dust on every page
But sometimes, I wonder how you think about it now
And I see your face in every crowd

'Cause darling, it was good
Never looking down
And right there where we stood
Was holy ground

Tonight, I'm gonna dance
For all that we've been through
But I don't wanna dance
If I'm not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't wanna dance
If I'm not dancing with you

It was good
Never looking down
And right there where we stood
Was holy ground

Tonight, I'm gonna dance
For all that we've been through
But I don't wanna dance
If I'm not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't wanna dance
If I'm not dancing with you"
"55","Red","Sad Beautiful Tragic",NA,NA
"56","Red","The Lucky One",NA,NA
"57","Red","Everything Has Changed","Taylor Swift","(You good to go?)

All I knew this morning when I woke
Is I know something now
Know something now I didn't before
And all I've seen since eighteen hours ago
Is green eyes and freckles and your smile
In the back of my mind, making me feel like

I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

And all my walls stood tall, painted blue
And I'll take 'em down, take 'em down
And open up the door for you
And all I feel in my stomach is butterflies
The beautiful kind, making up for lost time
Taking flight, making me feel right

I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

Come back and tell me why
I'm feeling like I've missed you all this time
And meet me there tonight
And let me know that it's not all in my mind

I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

All I know is we said, ""Hello""
So dust off your highest hopes
All I know is pouring rain
And everything has changed
All I know is a new found grace
All my days, I'll know your face
All I know since yesterday
Is everything has changed"
"58","Red","Starlight",NA,NA
"59","Red","Begin Again","Taylor Swift","Took a deep breath in the mirror
He didn't like it when I wore high heels
But I do
Turn the lock and put my headphones on
He always said he didn't get this song
But I do, I do

I walked in, expecting you'd be late
But you got here early and you stand and wave
I walk to you
You pull my chair out and help me in
And you don't know how nice that is
But I do

And you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday, in a café, I watched it begin again

You said you never met one girl who
Had as many James Taylor records as you
But I do
We tell stories and you don't know why
I'm comin' off a little shy
But I do

But you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday, in a café, I watched it begin again

And we walked down the block to my car
And I almost brought him up
But you start to talk about the movies
That your family watches every single Christmas
And I wanna talk about that
And for the first time, what's past is past

'Cause you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday, in a café, I watched it begin again

Hmm, hmm
But on a Wednesday, in a café, I watched it begin again"
"60","Red","The Moment I Knew",NA,NA
